no_pendaftaran,first_name,last_name,email,gender,asal_sekolah,nilai_mtk,nilai_b_indo,nilai_b_ing,nilai_agama,nilai_penjas,nilai_kimia,nilai_biologi,nilai_fisika,nilai_ppkn,nilai_kesenian,nilai_rata_spmb,keterangan
890,Lucine,Horry,lhorryop@wisc.edu,Perempuan,SMA 7,8.5,6.5,8.5,7,9,8,6.5,8.5,8,8.5,6.5,pertimbangan
891,Minda,Doudny,mdoudnyoq@miibeian.gov.cn,Perempuan,SMA 6,8,8.5,9,8,9,7.5,8,7.5,9,7,7,tidak lulus
892,Jerrome,Buckler,jbuckleror@digg.com,Perempuan,SMA 2,8,6.5,8,7.5,6.5,8,6.5,7,7.5,7.5,9,tidak lulus
893,Marshall,Carvilla,mcarvillaos@wiley.com,Perempuan,SMA 11,9,8.5,8,6.5,7,7.5,6.5,9,8.5,9,9,pertimbangan
894,Silvie,Labeuil,slabeuilot@bigcartel.com,Laki-laki,SMA 5,8,8,7,8,7.5,8.5,9,7.5,7,7,8.5,pertimbangan
895,Caddric,Clemits,cclemitsou@cpanel.net,Perempuan,SMA 3,8,7.5,8,7.5,6.5,9,7.5,8,6.5,8,8,tidak lulus
896,Obadiah,McGonagle,omcgonagleov@myspace.com,Perempuan,SMA 1,7,9,7,7,7.5,7.5,9,8,9,8.5,9,pertimbangan
897,Sidonia,Yarn,syarnow@booking.com,Perempuan,SMA 3,6.5,7.5,8.5,8,7.5,7.5,9,8,9,7.5,9,tidak lulus
898,Romonda,Irwin,rirwinox@ezinearticles.com,Perempuan,SMA 2,8.5,8,8,6.5,7,6.5,8,8.5,7.5,8,7,pertimbangan
899,Glynnis,Shuter,gshuteroy@vimeo.com,Perempuan,SMA 6,8,7.5,6.5,7.5,9,7.5,6.5,7.5,8.5,8,7.5,lulus
900,Bev,MacClinton,bmacclintonoz@istockphoto.com,Perempuan,SMA 1,7.5,7,7.5,7,8,7.5,9,8.5,7,9,8,lulus
901,Verna,McBryde,vmcbrydep0@odnoklassniki.ru,Laki-laki,SMA 3,8.5,9,6.5,8,8,6.5,8.5,9,8,8,7,pertimbangan
902,Wilow,Pulman,wpulmanp1@va.gov,Perempuan,SMA 3,6.5,9,9,7.5,7.5,8,8,8,9,7,7.5,tidak lulus
903,Rubie,Carabine,rcarabinep2@nifty.com,Laki-laki,SMA 5,7.5,7,7.5,9,8.5,9,6.5,6.5,8,7.5,9,lulus
904,Sayer,Taplin,staplinp3@comcast.net,Laki-laki,SMA 9,9,9,9,8,8,9,6.5,7,7.5,9,7.5,tidak lulus
905,Towney,Korneev,tkorneevp4@oakley.com,Laki-laki,SMA 8,6.5,7,9,8,6.5,8,7.5,8,8.5,8,6.5,tidak lulus
906,Tiff,Braden,tbradenp5@vimeo.com,Laki-laki,SMA 3,9,8.5,7,7,9,7,8,6.5,6.5,7,8.5,tidak lulus
907,Elayne,Lanham,elanhamp6@yahoo.co.jp,Laki-laki,SMA 9,7.5,9,7.5,8,7,8.5,6.5,8.5,7,7.5,9,lulus
908,Rebekah,Blemings,rblemingsp7@pcworld.com,Laki-laki,SMA 2,8,6.5,9,9,8,9,9,7,7.5,6.5,9,tidak lulus
909,Gradey,Garza,ggarzap8@vkontakte.ru,Perempuan,SMA 5,7.5,7.5,8,8.5,8.5,8.5,7.5,9,7,8.5,6.5,tidak lulus
910,Ilyssa,Morde,imordep9@cbsnews.com,Laki-laki,SMA 11,7.5,6.5,9,8,9,7.5,9,7,8.5,6.5,8,lulus
911,Bobbie,Simonnot,bsimonnotpa@washingtonpost.com,Laki-laki,SMA 3,9,7,9,7.5,8,7.5,6.5,6.5,8,8,9,tidak lulus
912,Humfrey,Elgey,helgeypb@friendfeed.com,Laki-laki,SMA 6,9,8,7,9,9,7.5,6.5,8.5,9,7,7,tidak lulus
913,Randee,Gayler,rgaylerpc@cocolog-nifty.com,Laki-laki,SMA 10,8.5,8.5,6.5,9,9,7,8,8,6.5,6.5,7,pertimbangan
914,Alessandro,Bowhey,abowheypd@jalbum.net,Laki-laki,SMA 8,9,7,7.5,7.5,7.5,9,7,8,6.5,7,6.5,tidak lulus
915,Ardenia,Sawl,asawlpe@omniture.com,Perempuan,SMA 10,8.5,6.5,7.5,9,7.5,7,7.5,8.5,6.5,7.5,6.5,tidak lulus
916,Adan,Lehon,alehonpf@fastcompany.com,Perempuan,SMA 7,7,7,8.5,7,7,8,9,7,7.5,7,8.5,lulus
917,Deloria,Ofer,doferpg@cnn.com,Perempuan,SMA 7,7,7.5,7.5,6.5,8.5,8,8,7.5,7,7.5,7,pertimbangan
918,Perla,McGuigan,pmcguiganph@opensource.org,Laki-laki,SMA 9,8.5,8,6.5,9,7,6.5,6.5,8,8,8,8,tidak lulus
919,Aldon,Jobb,ajobbpi@ucla.edu,Perempuan,SMA 8,7.5,9,7,7.5,8,7,8,8.5,8.5,7.5,7.5,lulus
920,Bernadene,Soffe,bsoffepj@engadget.com,Laki-laki,SMA 11,7.5,6.5,8.5,9,9,6.5,6.5,7.5,7,7.5,9,pertimbangan
921,Sherlocke,Minette,sminettepk@histats.com,Laki-laki,SMA 4,6.5,9,6.5,7,8.5,6.5,7,7.5,8,7,7,tidak lulus
922,Eldredge,Leacock,eleacockpl@blinklist.com,Laki-laki,SMA 1,7.5,9,6.5,7,8.5,8.5,7,6.5,7.5,8,8,pertimbangan
923,Jarrett,Waadenburg,jwaadenburgpm@msn.com,Perempuan,SMA 10,8.5,9,6.5,6.5,8,6.5,8,8.5,8,8.5,8,tidak lulus
924,Rockie,Whitcomb,rwhitcombpn@fastcompany.com,Perempuan,SMA 8,7.5,6.5,8.5,7,6.5,8,8.5,7.5,7,7.5,7.5,tidak lulus
925,Dian,McGonigal,dmcgonigalpo@blogger.com,Perempuan,SMA 6,9,7,7,9,7.5,9,8.5,7.5,7,8.5,8.5,lulus
926,Noelani,Fawks,nfawkspp@bing.com,Laki-laki,SMA 7,8,6.5,7.5,7,9,8,8,6.5,8.5,9,7.5,lulus
927,Maitilde,Bulled,mbulledpq@behance.net,Perempuan,SMA 10,9,7.5,8,7,7,9,7.5,7,9,9,9,tidak lulus
928,Evan,Stroulger,estroulgerpr@paginegialle.it,Perempuan,SMA 8,7.5,9,8.5,8.5,8.5,7.5,8.5,8.5,8,7.5,8,tidak lulus
929,Barnabe,Poll,bpollps@simplemachines.org,Laki-laki,SMA 2,9,8.5,7,8.5,8.5,6.5,6.5,8.5,6.5,7,9,tidak lulus
930,Jerry,Nellies,jnelliespt@privacy.gov.au,Laki-laki,SMA 4,9,7.5,8,9,7.5,7,7,7.5,7.5,9,9,pertimbangan
931,Madelene,Beeching,mbeechingpu@tinyurl.com,Perempuan,SMA 4,9,6.5,8,8,8.5,8.5,9,9,8,6.5,9,lulus
932,Jerald,Antonowicz,jantonowiczpv@elegantthemes.com,Laki-laki,SMA 7,9,9,7,7.5,7.5,7.5,9,7,9,7,8.5,pertimbangan
933,Amelita,Gush,agushpw@smugmug.com,Perempuan,SMA 4,7,6.5,7,8.5,7.5,6.5,8.5,8.5,8.5,6.5,9,lulus
934,Mariele,Maryan,mmaryanpx@de.vu,Perempuan,SMA 6,7,6.5,8.5,7,8,8,8,6.5,6.5,8.5,9,tidak lulus
935,Wallache,Graveney,wgraveneypy@netlog.com,Perempuan,SMA 5,9,9,7,7.5,7.5,7.5,6.5,7.5,9,6.5,7,tidak lulus
936,Ximenes,Doulton,xdoultonpz@cbslocal.com,Laki-laki,SMA 9,8.5,8.5,8.5,7,8.5,7,9,8,8,8.5,7.5,tidak lulus
937,Nerissa,Castledine,ncastledineq0@howstuffworks.com,Laki-laki,SMA 4,8,7.5,7,6.5,9,9,7.5,8.5,9,6.5,8,tidak lulus
938,Jena,Leggin,jlegginq1@jimdo.com,Laki-laki,SMA 2,9,6.5,9,7,8.5,9,9,6.5,8.5,8,6.5,tidak lulus
939,Rosabelle,De Michele,rdemicheleq2@ovh.net,Perempuan,SMA 3,8.5,7,8,8.5,8,8,9,8.5,6.5,7,7,pertimbangan
940,Corri,Wraighte,cwraighteq3@jigsy.com,Laki-laki,SMA 4,8,7,8.5,7.5,7,6.5,8,9,7,8.5,6.5,lulus
941,Ricoriki,Poltone,rpoltoneq4@simplemachines.org,Laki-laki,SMA 3,8.5,9,8,6.5,8.5,7,8.5,7,7.5,7,8,lulus
942,Kathlin,Nourse,knourseq5@hatena.ne.jp,Perempuan,SMA 1,7.5,7.5,6.5,8.5,7.5,7,7.5,8,9,9,7.5,pertimbangan
943,Gilburt,Manford,gmanfordq6@mtv.com,Laki-laki,SMA 11,8,8.5,7,8.5,8,8,8.5,7,6.5,7,8.5,pertimbangan
944,Melisenda,Ordidge,mordidgeq7@slideshare.net,Perempuan,SMA 10,8.5,6.5,7,7,8,7.5,7.5,6.5,7,6.5,9,lulus
945,Marion,Pratley,mpratleyq8@globo.com,Laki-laki,SMA 7,8,7.5,6.5,8,8,8.5,6.5,6.5,9,9,8.5,pertimbangan
946,Hailee,Westwood,hwestwoodq9@furl.net,Perempuan,SMA 7,7.5,7,7.5,7,7,7,8.5,8,9,6.5,7.5,lulus
947,Keefe,Unwins,kunwinsqa@mapquest.com,Laki-laki,SMA 3,8,7.5,9,7.5,7,7,8.5,8,8,6.5,9,tidak lulus
948,Basilio,Von Salzberg,bvonsalzbergqb@hibu.com,Perempuan,SMA 2,9,7,8.5,6.5,6.5,7.5,8,7,8,6.5,9,lulus
949,Kaila,Seary,ksearyqc@cisco.com,Perempuan,SMA 6,8,6.5,8,6.5,8.5,7.5,9,8,7,7,7,lulus
950,Britte,Phillp,bphillpqd@booking.com,Perempuan,SMA 4,9,8.5,7,8,8.5,6.5,9,8,9,8,9,tidak lulus
951,Dore,Rudwell,drudwellqe@nifty.com,Perempuan,SMA 3,9,7.5,8,8,8.5,8,8.5,8,6.5,7.5,7,tidak lulus
952,Cristabel,Runnett,crunnettqf@ehow.com,Perempuan,SMA 8,6.5,7.5,8.5,7.5,6.5,9,7.5,7.5,9,9,9,tidak lulus
953,Kiersten,Cregg,kcreggqg@princeton.edu,Perempuan,SMA 3,7.5,8.5,7,7,8.5,8,7.5,8,7,7.5,8,pertimbangan
954,Flore,Vonasek,fvonasekqh@usa.gov,Perempuan,SMA 7,6.5,8,7,8.5,8.5,7.5,8.5,9,9,8.5,8,pertimbangan
955,Fayette,Kilroy,fkilroyqi@ezinearticles.com,Laki-laki,SMA 10,8,6.5,6.5,9,9,8,6.5,8,7.5,6.5,8.5,tidak lulus
956,Rose,Norheny,rnorhenyqj@google.com,Perempuan,SMA 6,7,8.5,8,9,8.5,9,8.5,7.5,9,7,8,lulus
957,Kania,Hatherleigh,khatherleighqk@friendfeed.com,Laki-laki,SMA 5,8.5,6.5,8.5,8.5,7.5,7,7,8,7,6.5,7.5,pertimbangan
958,Teirtza,Normaville,tnormavilleql@vkontakte.ru,Perempuan,SMA 4,7.5,9,9,7,8,9,6.5,8,8.5,6.5,6.5,pertimbangan
959,Abey,Choke,achokeqm@walmart.com,Perempuan,SMA 2,9,8.5,6.5,7,7.5,9,6.5,7,9,8.5,7.5,pertimbangan
960,Godfry,Garwell,ggarwellqn@vinaora.com,Perempuan,SMA 1,8,6.5,7.5,8,8,8.5,9,7,8.5,8.5,6.5,tidak lulus
961,Bree,Cracie,bcracieqo@google.pl,Perempuan,SMA 5,6.5,7,7,8,8,9,7.5,6.5,6.5,6.5,8.5,pertimbangan
962,Arri,Gallelli,agallelliqp@webs.com,Laki-laki,SMA 5,7.5,6.5,9,9,7,8.5,6.5,7,8.5,9,6.5,tidak lulus
963,Karil,Capnor,kcapnorqq@intel.com,Laki-laki,SMA 5,9,8.5,8,8.5,7,7,7.5,9,8.5,8.5,6.5,tidak lulus
964,Emmaline,Estevez,eestevezqr@creativecommons.org,Laki-laki,SMA 7,7.5,7,8.5,9,8,6.5,6.5,8.5,8,7.5,7,pertimbangan
965,Rubetta,Sommer,rsommerqs@example.com,Laki-laki,SMA 2,8,9,7,8.5,9,9,8,8,9,9,9,tidak lulus
966,Casi,Vance,cvanceqt@walmart.com,Perempuan,SMA 3,7.5,7,7,9,6.5,8,8.5,8,8,9,8,pertimbangan
967,Kelly,Picford,kpicfordqu@google.co.uk,Perempuan,SMA 8,7.5,6.5,8.5,7,9,9,6.5,8.5,9,8.5,7,tidak lulus
968,Laural,Chinery,lchineryqv@t.co,Laki-laki,SMA 10,6.5,7,7.5,8,8.5,8,7,6.5,9,8,7,tidak lulus
969,Marcus,Rouf,mroufqw@japanpost.jp,Perempuan,SMA 11,7.5,7,6.5,9,7.5,8.5,7.5,6.5,8.5,8.5,6.5,lulus
970,Theresa,Libermore,tlibermoreqx@aboutads.info,Laki-laki,SMA 6,7.5,8,8.5,9,7.5,8,7,7.5,7.5,7.5,9,pertimbangan
971,Lynsey,Stoyles,lstoylesqy@nasa.gov,Laki-laki,SMA 3,9,7.5,6.5,7.5,8.5,8.5,8,7.5,9,9,6.5,lulus
972,Arthur,Fairpool,afairpoolqz@etsy.com,Perempuan,SMA 9,6.5,9,9,7,9,6.5,7.5,9,8.5,6.5,7.5,lulus
973,Merilee,Dible,mdibler0@zdnet.com,Laki-laki,SMA 4,7,9,9,9,7.5,7,7.5,8,9,8,8.5,tidak lulus
974,Brnaba,Troy,btroyr1@networkadvertising.org,Laki-laki,SMA 7,6.5,7,6.5,7,7,6.5,7.5,7.5,7.5,6.5,9,lulus
975,Sherry,Jansa,sjansar2@kickstarter.com,Perempuan,SMA 7,9,7,9,7,8.5,7.5,9,7.5,6.5,7.5,8.5,pertimbangan
976,Alleyn,Gawne,agawner3@fastcompany.com,Perempuan,SMA 5,7.5,8,8.5,8,7,6.5,8,9,7,8.5,7.5,lulus
977,Osborne,Lobell,olobellr4@answers.com,Perempuan,SMA 9,7.5,6.5,8,7,8,7,8.5,7.5,8.5,6.5,9,pertimbangan
978,Essy,Bunworth,ebunworthr5@plala.or.jp,Laki-laki,SMA 7,8.5,8,9,8,8,6.5,7.5,7,7.5,8.5,7.5,tidak lulus
979,Cortie,Assur,cassurr6@forbes.com,Laki-laki,SMA 1,8.5,8.5,7.5,6.5,6.5,9,8.5,7,7.5,7.5,7.5,lulus
980,Christin,Rix,crixr7@cyberchimps.com,Perempuan,SMA 8,6.5,9,7.5,8,7,6.5,7.5,6.5,6.5,8,7.5,tidak lulus
981,Alexander,Howford,ahowfordr8@g.co,Laki-laki,SMA 1,9,8.5,7,7,7.5,7,8.5,9,8.5,8,6.5,lulus
982,Maxwell,Scrivin,mscrivinr9@topsy.com,Laki-laki,SMA 6,7.5,7,7,9,6.5,9,8,8,8.5,7.5,6.5,pertimbangan
983,Robbi,Belli,rbellira@is.gd,Laki-laki,SMA 3,9,7.5,8,8.5,7.5,8.5,7.5,9,9,8,8.5,pertimbangan
984,Sawyer,Flux,sfluxrb@wsj.com,Laki-laki,SMA 3,7,8.5,6.5,7,9,8,7.5,9,9,6.5,9,lulus
985,Thomasin,Sutter,tsutterrc@i2i.jp,Perempuan,SMA 5,7,9,8.5,9,6.5,9,7.5,6.5,8.5,9,8,pertimbangan
986,Putnam,Chattell,pchattellrd@salon.com,Laki-laki,SMA 10,8.5,6.5,9,8.5,7,8,8,8.5,7,8,7,tidak lulus
987,Garner,Cargo,gcargore@tmall.com,Laki-laki,SMA 5,8.5,6.5,8,7,7,8,7,7.5,9,7,7.5,pertimbangan
988,Ab,Tewkesberrie,atewkesberrierf@reference.com,Laki-laki,SMA 2,9,8.5,6.5,9,7.5,6.5,7,6.5,6.5,7,8.5,lulus
989,Linnea,Macek,lmacekrg@go.com,Perempuan,SMA 9,8.5,8,7.5,7.5,7.5,8,7,7,8,7,6.5,pertimbangan
990,Tallulah,Challicum,tchallicumrh@hexun.com,Laki-laki,SMA 6,8.5,6.5,8.5,8,9,6.5,8,9,9,6.5,7.5,tidak lulus
991,Ileana,Chessil,ichessilri@cornell.edu,Perempuan,SMA 4,9,7,6.5,7,8,9,7.5,7,9,9,7,pertimbangan
992,Sada,Clarkin,sclarkinrj@geocities.com,Perempuan,SMA 7,8,7.5,7.5,9,8.5,7.5,7.5,8,8.5,7,8,pertimbangan
993,Heindrick,McSaul,hmcsaulrk@earthlink.net,Perempuan,SMA 1,9,7,8,7.5,7,8.5,7,8,7.5,7.5,7,lulus
994,Lauritz,Counter,lcounterrl@bing.com,Perempuan,SMA 11,9,8,7,6.5,7,9,8.5,7,9,8.5,9,pertimbangan
995,Ford,Losano,flosanorm@acquirethisname.com,Laki-laki,SMA 5,7,9,8,7.5,8.5,8,7,7.5,8.5,6.5,8,pertimbangan
996,Sid,Scafe,sscafern@over-blog.com,Laki-laki,SMA 2,7,7.5,7.5,8.5,8.5,7.5,8,9,9,8,7.5,tidak lulus
997,William,Spykings,wspykingsro@cnbc.com,Laki-laki,SMA 1,8.5,7.5,8,9,7.5,6.5,8,7,8,8.5,6.5,lulus
998,Sayres,Aitkin,saitkinrp@apache.org,Perempuan,SMA 6,7,7,6.5,7,7.5,8,8.5,9,7.5,6.5,8,lulus
999,Rich,Langrick,rlangrickrq@ed.gov,Perempuan,SMA 4,8,7,6.5,9,6.5,9,7.5,7.5,7.5,7.5,7.5,pertimbangan
1000,Tiena,Dace,tdacerr@chron.com,Laki-laki,SMA 4,7.5,8,9,8.5,8.5,7.5,6.5,8.5,6.5,8.5,6.5,tidak lulus
